incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_acres_burned,incident_longitude,incident_latitude,incident_extinguished_year,incident_extinguished_month,incident_extinguished_day,incident_extinguished_hour,incident_extinguished_minute
Hall Fire,2014,06,11,07,30,25,-119.241493,36.742747,2014,06,09,19,15
Norman Fire,2014,06,12,14,29,70,38.453,121.999,2014,06,13,08,00
Tehama Fire,2014,06,13,12,23,225,-122.345078,40.009827,2014,06,13,13,50
Shirley Fire,2014,06,13,17,00,3895,-118.555527,35.70683,2014,06,20,08,30
Reed Fire,2014,06,20,15,27,120,38.178241,120.679019,2014,06,21,19,00
Oak Fire,2014,06,22,12,37,85,-120.66,38.058,2014,06,24,19,00
West Fire,2014,07,01,03,45,15,-123.24,40.41,2014,07,03,10,45
Butts Fire,2014,07,01,12,08,4300,-122.454,38.664,2014,07,09,18,00
Modoc Lightning Complex,2014,07,01,19,00,1651,-120.79,41.89,2014,07,03,10,30
Banner Fire,2014,07,03,10,43,217,-116.576454,33.078948,2014,07,06,09,15
Gulch Fire,2014,07,03,15,46,1469,-120.904,41.489,2014,07,07,07,00
Monticello Fire,2014,07,04,21,32,6488,-122.104,38.512,2014,07,12,18,00
Cassel Fire,2014,07,05,18,44,75,-121.3415,40.5719,2014,07,08,18,30
Interlake Fire,2014,07,07,16,12,47,-121.0226,35.8218,2014,07,08,18,30
Hutto Fire,2014,07,07,16,35,38,-121.2687,39.1871,2014,07,08,06,56
Dry Fire,2014,07,09,13,45,143,-122.2215,40.6569,2014,07,10,07,30
Bible Fire,2014,07,09,14,34,30,-120.703238,38.608336,2014,07,09,16,45
Nicolls Fire ,2014,07,11,13,46,1680,-118.15,35.642,2014,07,21,14,45
Bully Fire,2014,07,11,15,37,12661,-122.750788,40.431399999999996,2014,07,26,20,00
Marsh Fire,2014,07,11,21,57,80,-121.5118,37.5359,2014,07,12,18,00
Wildlife Fire,2014,07,14,18,00,72,-121.6129,39.4664,2014,07,16,08,00
Sand Fire,2014,07,25,16,34,4240,-120.7819,38.5691,2014,08,02,19,15
Day Fire,2014,07,30,19,01,13153,-121.2144,41.1336,2014,08,13,07,00
Bald Fire,2014,07,30,20,15,39736,-121.368,40.901,2014,08,15,14,00
Coffee Fire,2014,07,30,20,30,6258,-122.805,41.141,2014,11,14,13,00
Oregon Gulch Fire (part of the Beaver Complex),2014,07,30,23,00,35302,-122.345,42.048,2014,08,18,09,45
Little Deer Fire,2014,07,31,17,45,5503,-122.127,41.682,2014,08,18,10,00
Eiler Fire,2014,07,31,18,04,32416,-121.562,40.72,2014,08,25,10,00
Happy Camp Complex,2014,08,11,22,00,0,-123.374,41.796,2014,08,14,09,30
Little Fire,2014,08,12,15,00,101,-121.266,41.507,2014,08,13,06,15
Shoemaker Fire,2014,08,14,12,48,190,-117.771,34.235,2014,12,12,14,00
Border Fire,2014,08,16,16,22,20,-116.89516,32.59154,2014,08,17,07,45
Tecolote Fire,2014,08,17,14,30,274,-117.867,34.267,2014,12,12,13,30
Boca Fire,2014,08,18,10,00,84,-120.0805,39.3918,2014,08,19,16,45
Junction Fire,2014,08,18,13,50,612,-119.6581,37.3433,2014,08,25,08,25
Way Fire,2014,08,18,14,30,4045,-118.4747,35.7206,2014,08,27,18,00
Oregon Fire,2014,08,24,16,36,461,-122.946,40.7412,2014,08,28,19,00
Pines Fire,2014,08,26,16,23,10,18.4,37,2014,12,12,13,45
Leopard Fire,2014,08,29,12,21,25,29.24,40,2014,08,29,13,15
Jackson Fire,2014,09,04,11,51,70,-120.3434,37.8316,2014,09,05,09,15
Gulch Fire,2014,09,10,08,30,1375,-122.171,40.7101,2014,09,16,09,30
Stage Coach Fire,2014,09,11,15,14,27,-122.384054,38.695961,2014,09,15,14,20
Silverado Fire,2014,09,12,10,30,968,-117.601,33.748,2014,09,22,15,00
